icao_code,iata_code,name,iso_country,latitude_deg,longitude_deg,type
EGJA,ACI,Alderney Airport,GG,49.706104,-2.21472,medium_airport
EGJB,GCI,Guernsey Airport,GG,49.435001,-2.60197,medium_airport
EGJJ,JER,Jersey Airport,JE,49.207901,-2.19551,medium_airport
EGKK,LGW,London Gatwick Airport,GB,51.148744,-0.185739,large_airport
EGLC,LCY,London City Airport,GB,51.505299,0.055278,medium_airport
EGLL,LHR,London Heathrow Airport,GB,51.470748,-0.459909,large_airport
EGMC,SEN,London Southend Airport,GB,51.570562,0.693627,medium_airport
EGNJ,HUY,Humberside Airport,GB,53.576152,-0.34954,medium_airport
EGNM,LBA,Leeds Bradford Airport,GB,53.865898,-1.66057,large_airport
EGNS,IOM,Isle of Man Airport,IM,54.083081,-4.623871,large_airport
EGNT,NCL,Newcastle International Airport,GB,55.037958,-1.689577,large_airport
EGNV,MME,Teesside International Airport,GB,54.509201,-1.42941,medium_airport
EGNX,EMA,East Midlands Airport,GB,52.8311,-1.32806,large_airport
EGPA,KOI,Kirkwall Airport,GB,58.957903,-2.905077,medium_airport
EGPB,LSI,Sumburgh Airport,GB,59.878899,-1.29556,medium_airport
EGPC,WIC,Wick John O'Groats Airport,GB,58.4589,-3.09306,medium_airport
EGPD,ABZ,Aberdeen International Airport,GB,57.2019,-2.19778,large_airport
EGPE,INV,Inverness Airport,GB,57.5425,-4.0475,medium_airport
EGPF,GLA,Glasgow Airport,GB,55.871899,-4.43306,large_airport
EGPH,EDI,Edinburgh Airport,GB,55.950145,-3.372288,large_airport
EGPI,ILY,Islay Airport,GB,55.682708,-6.257525,medium_airport
EGPK,PIK,Glasgow Prestwick Airport,GB,55.501499,-4.577182,large_airport
EGPL,BEB,Benbecula Airport,GB,57.481098,-7.36278,medium_airport
EGPN,DND,Dundee Airport,GB,56.452499,-3.02583,medium_airport
EGPO,SYY,Stornoway Airport,GB,58.215599,-6.33111,medium_airport
EGPR,BRR,Barra Airport,GB,57.0228,-7.44306,medium_airport
EGPU,TRE,Tiree Airport,GB,56.499199,-6.86917,medium_airport
EGSH,NWI,Norwich Airport,GB,52.6758,1.28278,medium_airport
EGSS,STN,London Stansted Airport,GB,51.884998,0.235,large_airport
EGTE,EXT,Exeter International Airport,GB,50.734261,-3.413984,medium_airport
EHAM,AMS,Amsterdam Airport Schiphol,NL,52.308601,4.76389,large_airport
EHBK,MST,Maastricht Aachen Airport,NL,50.911087,5.769401,large_airport
EHEH,EIN,Eindhoven Airport,NL,51.4500999451,5.37452983856,large_airport
EHGG,GRQ,Groningen Airport Eelde,NL,53.119107,6.577652,large_airport
EHRD,RTM,Rotterdam The Hague Airport,NL,51.956902,4.43722,large_airport
EICK,ORK,Cork International Airport,IE,51.841301,-8.49111,large_airport
EIDL,CFN,Donegal Airport,IE,55.0442008972168,-8.340999603271484,medium_airport
EIDW,DUB,Dublin Airport,IE,53.428713,-6.262121,large_airport
EIKN,NOC,Ireland West Airport Knock,IE,53.910439,-8.817002,large_airport
EIKY,KIR,Kerry Airport,IE,52.180901,-9.52378,medium_airport
EINN,SNN,Shannon Airport,IE,52.702,-8.92482,large_airport
EKAH,AAR,Aarhus Airport,DK,56.303331,10.618286,large_airport
EKBI,BLL,Billund Airport,DK,55.740335,9.157019,large_airport
EKCH,CPH,Copenhagen Kastrup Airport,DK,55.617900848389,12.656000137329,large_airport
EKEB,EBJ,Esbjerg Airport,DK,55.525902,8.5534,medium_airport
EKKA,KRP,Midtjyllands Airport / Air Base Karup,DK,56.297139,9.104311,medium_airport
EKOD,ODE,Odense Hans Christian Andersen Airport,DK,55.475307,10.327206,large_airport
EKRK,RKE,Copenhagen Roskilde Airport,DK,55.585602,12.1314,medium_airport
EKRN,RNN,Bornholm Airport,DK,55.063301,14.7596,medium_airport
EKSB,SGD,Sønderborg Airport,DK,54.96440124511719,9.791729927062988,medium_airport
EKVG,FAE,Vágar Airport,FO,62.063256,-7.275782,large_airport
EKYT,AAL,Aalborg Airport,DK,57.094763,9.84993,large_airport
ELLX,LUX,Luxembourg-Findel International Airport,LU,49.626845,6.212134,large_airport
ENAL,AES,Ålesund Airport,NO,62.560443,6.110845,large_airport
ENAN,ANX,"Andøya Airport, Andenes",NO,69.295193,16.139379,medium_airport
ENAT,ALF,Alta Airport,NO,69.976097,23.3717,medium_airport
ENBN,BNN,"Brønnøysund Airport, Brønnøy",NO,65.461098,12.2175,medium_airport
ENBO,BOO,Bodø Airport,NO,67.269203,14.3653,large_airport
ENBR,BGO,"Bergen Airport, Flesland",NO,60.2934,5.21814,large_airport
ENBS,BJF,Båtsfjord Airport,NO,70.60025,29.692612,medium_airport
ENBV,BVG,Berlevåg Airport,NO,70.871517,29.034097,medium_airport
ENCN,KRS,Kristiansand Airport,NO,58.204201,8.08537,large_airport
ENDU,BDU,Bardufoss Airport,NO,69.055801,18.5404,medium_airport
ENEV,EVE,Harstad/Narvik Airport,NO,68.491302,16.678101,large_airport
ENFL,FRO,Florø Airport,NO,61.583599090576,5.0247201919556,medium_airport
ENGM,OSL,Oslo-Gardermoen International Airport,NO,60.193901,11.1004,large_airport
ENHD,HAU,"Haugesund Airport, Karmøy",NO,59.345299,5.20836,medium_airport
ENHF,HFT,Hammerfest Airport,NO,70.679703,23.6686,medium_airport
ENHV,HVG,"Honningsvåg Airport, Valan",NO,71.009697,25.983601,medium_airport
ENKB,KSU,"Kristiansund Airport, Kvernberget",NO,63.111801,7.82452,medium_airport
ENKR,KKN,"Kirkenes Airport, Høybuktmoen",NO,69.7258,29.8913,medium_airport
ENLK,LKN,Leknes Airport,NO,68.152496337891,13.609399795532,medium_airport
ENMH,MEH,Mehamn Airport,NO,71.029701,27.8267,medium_airport
ENML,MOL,"Molde Airport, Årø",NO,62.744701,7.2625,medium_airport
ENMS,MJF,"Mosjøen Airport, Kjærstad",NO,65.783997,13.2149,medium_airport
ENNA,LKL,"Lakselv Airport, Banak",NO,70.068802,24.973499,medium_airport
ENOL,OLA,Ørland Airport,NO,63.69889831542969,9.604000091552734,medium_airport
ENOV,HOV,"Ørsta-Volda Airport, Hovden",NO,62.180000305176,6.0741000175476,medium_airport
ENRA,MQN,"Mo i Rana Airport, Røssvoll",NO,66.363899230957,14.301400184631,medium_airport
ENRM,RVK,"Rørvik Airport, Ryum",NO,64.838302612305,11.14610004425,medium_airport
ENRO,RRS,Røros Airport,NO,62.578399658203,11.342300415039,medium_airport
ENSB,LYR,"Svalbard Airport, Longyear",NO,78.246101,15.4656,medium_airport
ENSH,SVJ,"Svolvær Airport, Helle",NO,68.243301,14.6692,medium_airport
ENSK,SKN,"Stokmarknes Airport, Skagen",NO,68.578827,15.033417,medium_airport
ENSO,SRP,"Stord Airport, Sørstokken",NO,59.791901,5.34085,medium_airport
ENSR,SOJ,Sørkjosen Airport,NO,69.786797,20.9594,medium_airport
ENSS,VAW,"Vardø Airport, Svartnes",NO,70.3554,31.044901,medium_airport
ENST,SSJ,"Sandnessjøen Airport, Stokka",NO,65.956802,12.4689,medium_airport
ENTC,TOS,Tromsø Airport,NO,69.683296,18.9189,large_airport
ENTO,TRF,"Sandefjord Airport, Torp",NO,59.186699,10.2586,large_airport
ENVA,TRD,"Trondheim Airport, Værnes",NO,63.457802,10.924,large_airport
ENVD,VDS,Vadsø Airport,NO,70.0653,29.8447,medium_airport
ENZV,SVG,"Stavanger Airport, Sola",NO,58.876701,5.63778,large_airport
EPBY,BZG,Ignacy Jan Paderewski Bydgoszcz Airport,PL,53.096802,17.977699,medium_airport
EPGD,GDN,Gdańsk Lech Wałęsa Airport,PL,54.377602,18.4662,large_airport
EPKK,KRK,Kraków John Paul II International Airport,PL,50.077702,19.7848,large_airport
EPKT,KTW,Katowice Wojciech Korfanty International Airport,PL,50.476015,19.080705,large_airport
EPLB,LUZ,Lublin Airport,PL,51.240157,22.713461,large_airport
EPLL,LCJ,Łódź Władysław Reymont Airport,PL,51.721901,19.3981,large_airport
EPMO,WMI,Warsaw Modlin Airport,PL,52.451099,20.6518,large_airport
EPPO,POZ,Poznań-Ławica Airport,PL,52.421598,16.823359,large_airport
EPRA,RDO,Warsaw Radom Airport,PL,51.38937,21.214742,medium_airport
EPRZ,RZE,Rzeszów-Jasionka Airport,PL,50.109791,22.024155,large_airport
EPSC,SZZ,Solidarity Szczecin–Goleniów Airport,PL,53.584702,14.9022,large_airport
EPSY,SZY,Olsztyn-Mazury Airport,PL,53.481899,20.9377,medium_airport
EPWA,WAW,Warsaw Chopin Airport,PL,52.165699,20.9671,large_airport
EPWR,WRO,Copernicus Wrocław Airport,PL,51.103719,16.882096,large_airport
EPZG,IEG,Zielona Góra-Babimost Airport,PL,52.1385,15.7986,medium_airport
ESDF,RNB,Ronneby Airport,SE,56.266701,15.265,medium_airport
ESGG,GOT,Göteborg Landvetter Airport,SE,57.6628,12.2798,large_airport
ESGJ,JKG,Jönköping Airport,SE,57.757598876953125,14.068699836730955,medium_airport
ESGT,THN,Trollhättan-Vänersborg Airport,SE,58.31809997558594,12.345000267028809,medium_airport
ESKM,MXX,Mora Airport,SE,60.957901,14.5114,medium_airport
ESKN,NYO,Stockholm Skavsta Airport,SE,58.789656,16.911479,large_airport
ESKS,SCR,Scandinavian Mountains Airport,SE,61.16508,12.83352,large_airport
ESMQ,KLR,Kalmar Airport,SE,56.685501,16.2876,medium_airport
ESMS,MMX,Malmö Sturup Airport,SE,55.535564,13.376327,large_airport
ESMT,HAD,Halmstad Airport,SE,56.69110107421875,12.820199966430664,medium_airport
ESMX,VXO,Växjö Kronoberg Airport,SE,56.92910003662109,14.727999687194824,medium_airport
ESNG,GEV,Gällivare Airport,SE,67.13240051269531,20.814599990844727,medium_airport
ESNK,KRF,Kramfors-Sollefteå Höga Kusten Airport,SE,63.048599,17.7689,medium_airport
ESNL,LYC,Lycksele Airport,SE,64.548302,18.7162,medium_airport
ESNN,SDL,Sundsvall-Härnösand Airport,SE,62.528099060058594,17.443899154663086,medium_airport
ESNO,OER,Örnsköldsvik Airport,SE,63.40829849243164,18.989999771118164,medium_airport
ESNQ,KRN,Kiruna Airport,SE,67.821999,20.3368,large_airport
ESNS,SFT,Skellefteå Airport,SE,64.62480163574219,21.07690048217773,medium_airport
ESNU,UME,Umeå Airport,SE,63.791801,20.282801,large_airport
ESNV,VHM,Vilhelmina South Lapland Airport,SE,64.579102,16.833599,medium_airport
ESNX,AJR,Arvidsjaur Airport,SE,65.59030151367188,19.28190040588379,medium_airport
ESNZ,OSD,Åre Östersund Airport,SE,63.193546,14.504168,medium_airport
ESOE,ORB,Örebro Airport,SE,59.22370147705078,15.038000106811523,medium_airport
ESOK,KSD,Karlstad Airport,SE,59.444698,13.3374,medium_airport
ESOW,VST,Stockholm Västerås Airport,SE,59.589401,16.6336,large_airport
ESPA,LLA,Luleå Airport,SE,65.5438,22.122,large_airport
ESSA,ARN,Stockholm-Arlanda Airport,SE,59.64849,17.928829,large_airport
ESSB,BMA,Stockholm-Bromma Airport,SE,59.354401,17.9417,medium_airport
ESSD,BLE,Dala Airport,SE,60.422001,15.5152,medium_airport
ESSL,LPI,Linköping City Airport,SE,58.404909,15.684499,large_airport
ESSP,NRK,Norrköping Airport,SE,58.58629989624024,16.250600814819336,medium_airport
ESST,TYF,Torsby Airport,SE,60.1576,12.9913,medium_airport
ESSV,VBY,Visby Airport,SE,57.6628,18.346201,large_airport
ESTA,AGH,Ängelholm-Helsingborg Airport,SE,56.29610061645508,12.847100257873535,medium_airport
ETMN,FCN,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,DE,53.767689,8.659201,medium_airport
ETNL,RLG,Rostock-Laage Airport,DE,53.918201,12.2783,medium_airport
EVRA,RIX,Riga International Airport,LV,56.920752,23.970711,large_airport
EYKA,KUN,Kaunas International Airport,LT,54.963965,24.08582,large_airport
EYPA,PLQ,Palanga International Airport,LT,55.973202,21.093901,large_airport
EYVI,VNO,Vilnius International Airport,LT,54.634102,25.285801,large_airport
LATI,TIA,Tirana International Airport Mother Teresa,AL,41.4147,19.7206,large_airport
LBBG,BOJ,Burgas Airport,BG,42.569917,27.515173,large_airport
LBPD,PDV,Plovdiv International Airport,BG,42.067799,24.8508,large_airport
LBSF,SOF,Sofia Airport,BG,42.696357,23.417671,large_airport
LBWN,VAR,Varna Airport,BG,43.232101,27.8251,large_airport
LDDU,DBV,Dubrovnik Ruđer Bošković Airport,HR,42.562247,18.265543,large_airport
LDOS,OSI,Osijek Airport,HR,45.462355,18.811278,medium_airport
LDPL,PUY,Pula Airport,HR,44.893501,13.9222,large_airport
LDRI,RJK,Rijeka Airport,HR,45.216376,14.57085,large_airport
LDSB,BWK,Brač Airport,HR,43.284454,16.678362,medium_airport
LDSP,SPU,Split Saint Jerome Airport,HR,43.538898,16.298,large_airport
LDZA,ZAG,Zagreb Franjo Tuđman International Airport,HR,45.742901,16.0688,large_airport
LDZD,ZAD,Zadar Airport,HR,44.096986,15.353565,large_airport
LEAL,ALC,Alicante-Elche Miguel Hernández Airport,ES,38.2822,-0.558156,large_airport
LEAM,LEI,Almería Airport,ES,36.843899,-2.3701,medium_airport
LEAS,OVD,Asturias Airport,ES,43.563599,-6.03462,large_airport
LEBA,ODB,Córdoba Airport,ES,37.841999,-4.84888,medium_airport
LEBB,BIO,Bilbao Airport,ES,43.301102,-2.91061,large_airport
LEBL,BCN,Josep Tarradellas Barcelona-El Prat Airport,ES,41.2971,2.07846,large_airport
LEBZ,BJZ,Badajoz Airport,ES,38.8913,-6.82133,medium_airport
LECH,CDT,Castellón-Costa Azahar Airport,ES,40.213889,0.073333,medium_airport
LECO,LCG,A Coruña Airport,ES,43.302101,-8.37726,medium_airport
LEDA,ILD,Lleida-Alguaire Airport,ES,41.728185,0.535023,medium_airport
LEGE,GRO,Girona-Costa Brava Airport,ES,41.904639,2.761774,large_airport
LEGR,GRX,F.G.L. Airport Granada-Jaén Airport,ES,37.188702,-3.77736,medium_airport
LEIB,IBZ,Ibiza Airport,ES,38.872898,1.37312,large_airport
LEJR,XRY,Jerez Airport,ES,36.744598,-6.06011,medium_airport
LELN,LEN,León Airport,ES,42.590709,-5.653406,medium_airport
LEMD,MAD,Adolfo Suárez Madrid–Barajas Airport,ES,40.493407,-3.572249,large_airport
LEMG,AGP,Málaga-Costa del Sol Airport,ES,36.6749,-4.49911,large_airport
LEMH,MAH,Menorca Airport,ES,39.862598,4.21865,large_airport
LEMI,RMU,Region of Murcia International Airport,ES,37.802852,-1.124884,large_airport
LEPA,PMI,Palma de Mallorca Airport,ES,39.551701,2.73881,large_airport
LEPP,PNA,Pamplona Airport,ES,42.77,-1.64633,medium_airport
LERS,REU,Reus Airport,ES,41.147509,1.168354,large_airport
LESA,SLM,Salamanca Airport,ES,40.952099,-5.50199,medium_airport
LESO,EAS,San Sebastián Airport,ES,43.356499,-1.79061,medium_airport
LEST,SCQ,Santiago-Rosalía de Castro Airport,ES,42.896301,-8.41514,large_airport
LESU,LEU,Pirineus - la Seu d'Urgel Airport,ES,42.3386,1.40917,medium_airport
LEVC,VLC,Valencia Airport,ES,39.489162,-0.480961,large_airport
LEVD,VLL,Valladolid Airport,ES,41.7061,-4.85194,medium_airport
LEVT,VIT,Vitoria Airport,ES,42.882801,-2.72447,medium_airport
LEVX,VGO,Vigo Airport,ES,42.2318,-8.62677,medium_airport
LEXJ,SDR,Seve Ballesteros-Santander Airport,ES,43.427101,-3.82001,medium_airport
LEZG,ZAZ,Zaragoza Airport,ES,41.666199,-1.04155,large_airport
LEZL,SVQ,Seville Airport,ES,37.417999,-5.89311,large_airport
LFBD,BOD,Bordeaux–Mérignac Airport,FR,44.82865,-0.715356,large_airport
LFBE,EGC,Bergerac Dordogne-Périgord airport,FR,44.825298,0.518611,medium_airport
LFBH,LRH,La Rochelle Île de Ré Airport,FR,46.179199,-1.19528,medium_airport
LFBI,PIS,Poitiers-Biard Airport,FR,46.5877,0.306666,medium_airport
LFBL,LIG,Limoges Airport,FR,45.862801,1.17944,medium_airport
LFBO,TLS,Toulouse-Blagnac Airport,FR,43.629101,1.36382,large_airport
LFBP,PUF,Pau Pyrénées Airport,FR,43.380001,-0.418611,medium_airport
LFBT,LDE,Tarbes-Lourdes-Pyrénées Airport,FR,43.178699,-0.006439,medium_airport
LFBZ,BIQ,Biarritz Pays Basque airport,FR,43.468372,-1.523223,medium_airport
LFCK,DCM,Castres Mazamet Airport,FR,43.556301,2.28918,medium_airport
LFCR,RDZ,Rodez–Aveyron Airport,FR,44.407902,2.48267,medium_airport
LFGJ,DLE,Dole Tavaux Airport,FR,47.038955,5.427589,medium_airport
LFJL,ETZ,Metz-Nancy-Lorraine Airport,FR,48.982101,6.25132,medium_airport
LFKB,BIA,Bastia-Poretta International airport,FR,42.5527,9.48373,large_airport
LFKC,CLY,Calvi Sainte Catherine Airport,FR,42.530422,8.792984,medium_airport
LFKF,FSC,Figari Sud-Corse Airport,FR,41.50185,9.097092,large_airport
LFKJ,AJA,Ajaccio Napoléon Bonaparte airport,FR,41.923599,8.80292,medium_airport
LFLB,CMF,Chambéry Aix les Bains airport,FR,45.6381,5.88023,medium_airport
LFLC,CFE,Clermont-Ferrand Auvergne airport,FR,45.786701,3.16917,large_airport
LFLL,LYS,Lyon Saint-Exupéry Airport,FR,45.725996,5.090139,large_airport
LFLP,NCY,Annecy Meythet airport,FR,45.928947,6.0987,medium_airport
LFLS,GNB,Grenoble Alpes Isère Airport,FR,45.3629,5.32937,medium_airport
LFLW,AUR,Aurillac airport,FR,44.891399,2.42194,medium_airport
LFMK,CCF,Carcassonne Salvaza Airport,FR,43.216,2.30632,medium_airport
LFML,MRS,Marseille Provence Airport,FR,43.438088,5.2125,large_airport
LFMN,NCE,Nice-Côte d'Azur Airport,FR,43.658401,7.21587,large_airport
LFMP,PGF,Perpignan-Rivesaltes (Llabanère) Airport,FR,42.740398,2.87067,medium_airport
LFMT,MPL,Montpellier-Méditerranée Airport,FR,43.576199,3.96301,large_airport
LFMU,BZR,Béziers Vias airport,FR,43.323502,3.3539,medium_airport
LFMV,AVN,Avignon Caumont airport,FR,43.907299,4.90183,medium_airport
LFOB,BVA,Beauvais-Tillé airport,FR,49.454399,2.11278,large_airport
LFOK,XCR,Chalons Vatry airport,FR,48.77333,4.20611,medium_airport
LFOT,TUF,Tours Val de Loire Airport,FR,47.432201,0.727606,medium_airport
LFPB,LBG,Paris-Le Bourget International Airport,FR,48.962276,2.436539,large_airport
LFPG,CDG,Charles de Gaulle International Airport,FR,49.00896,2.554117,large_airport
LFPO,ORY,Paris-Orly Airport,FR,48.729499,2.358963,large_airport
LFQQ,LIL,Lille Airport,FR,50.566564,3.102429,large_airport
LFRB,BES,Brest Bretagne airport,FR,48.447899,-4.41854,large_airport
LFRD,DNR,Dinard Pleurtuit Saint-Malo airport,FR,48.5877,-2.07996,medium_airport
LFRG,DOL,Deauville Normandie airport,FR,49.365237,0.154481,medium_airport
LFRH,LRT,Lorient South Brittany (Bretagne Sud) Airport,FR,47.760601,-3.44,medium_airport
LFRK,CFR,Caen Carpiquet airport,FR,49.17678,-0.454883,medium_airport
LFRM,LME,Le Mans-Arnage Airport,FR,47.948604,0.201702,medium_airport
LFRN,RNS,Rennes-Saint-Jacques Airport,FR,48.0695,-1.73479,medium_airport
LFRS,NTE,Nantes Atlantique Airport,FR,47.153198,-1.61073,medium_airport
LFRZ,SNR,Saint-Nazaire-Montoir Airport,FR,47.31142,-2.152634,medium_airport
LFSB,BSL,EuroAirport Basel–Mulhouse–Freiburg,FR,47.60068,7.521117,large_airport
LFSD,DIJ,Dijon Longvic airport,FR,47.268902,5.09,medium_airport
LFSL,BVE,Brive Souillac airport,FR,45.039722,1.485556,medium_airport
LFST,SXB,Strasbourg Airport,FR,48.5383,7.62823,large_airport
LFTH,TLN,Toulon-Hyères Airport,FR,43.097301,6.14603,medium_airport
LFTW,FNI,Nîmes-Arles-Camargue Airport,FR,43.757401,4.41635,medium_airport
LGAL,AXD,Alexandroupoli Democritus Airport,GR,40.8559,25.956301,medium_airport
LGAV,ATH,Athens Eleftherios Venizelos International Airport,GR,37.936401,23.9445,large_airport
LGBL,VOL,Nea Anchialos National Airport,GR,39.219601,22.7943,medium_airport
LGHI,JKH,Chios Island National Airport,GR,38.34320068359375,26.140600204467773,medium_airport
LGIO,IOA,Ioannina King Pyrrhus National Airport,GR,39.6964,20.8225,medium_airport
LGIR,HER,Heraklion International Nikos Kazantzakis Airport,GR,35.339699,25.1803,large_airport
LGKF,EFL,Kefallinia Airport,GR,38.12009811401367,20.5004997253418,medium_airport
LGKL,KLX,Kalamata Airport,GR,37.06829833984375,22.02549934387207,medium_airport
